"Labour force characteristics by province, monthly, seasonally adjusted 1 2 3 4"
"Frequency: Monthly"
"Table: 14-10-0287-03"
"Release date: 2026-05-08"
"Geography: Canada, Province or territory"
""
""

,"Gender 5 6","Total - Gender",,,,,,
,"Age group","15 years and over",,,,,,
,"Statistics","Estimate",,,,,,
,"Data type","Seasonally adjusted",,,,,,
"Geography 7","Labour force characteristics","April 2025","March 2026","April 2026","April 2025 to April 2026","March 2026 to April 2026","March 2026 to April 2026","April 2025 to April 2026"
"Canada",,"Persons in thousands",,,,,,
,"Part-time employment 13","1,508.1","1,434.3","1,426.3","-81.8","-8.0","-0.6","-5.4"
,"Unemployment 14","690.5","676.1","672.9","-17.6","-3.2","-0.5","-2.5"
,,"Percent",,,,,,
,"Unemployment rate 15","7.8","7.6","7.5","-0.3","-0.1","...","..."
,"Participation rate 16","64.9","64.6","64.8","-0.1","0.2","...","..."
,"Employment rate 17","59.9","59.6","59.9","0.0","0.3","...","..."
"Manitoba",,"Persons in thousands",,,,,,
,"Population 8 9","1,171.0","1,185.0","1,186.6","15.6","1.6","0.1","1.3"
,"Labour force 10","779.0","795.6","788.9","9.9","-6.7","-0.8","1.3"
,"Employment 11","737.1","750.9","749.3","12.2","-1.6","-0.2","1.7"
,"Full-time employment 12","613.6","617.2","609.8","-3.8","-7.4","-1.2","-0.6"
,"Part-time employment 13","123.5","133.7","139.5","16.0","5.8","4.3","13.0"
,"Unemployment 14","42.0","44.6","39.7","-2.3","-4.9","-11.0","-5.5"
,,"Percent",,,,,,
,"Unemployment rate 15","5.4","5.6","5.0","-0.4","-0.6","...","..."
,"Participation rate 16","66.5","67.1","66.5","0.0","-0.6","...","..."
,"Employment rate 17","62.9","63.4","63.1","0.2","-0.3","...","..."
"Saskatchewan",,"Persons in thousands",,,,,,
,"Population 8 9","963.0","977.1","978.6","15.6","1.5","0.2","1.6"
,"Labour force 10","645.9","656.9","656.7","10.8","-0.2","-0.0","1.7"
,"Employment 11","617.4","623.9","619.9","2.5","-4.0","-0.6","0.4"
,"Full-time employment 12","506.4","517.2","507.0","0.6","-10.2","-2.0","0.1"
,"Part-time employment 13","110.9","106.7","112.9","2.0","6.2","5.8","1.8"
,"Unemployment 14","28.5","33.0","36.9","8.4","3.9","11.8","29.5"
,,"Percent",,,,,,
,"Unemployment rate 15","4.4","5.0","5.6","1.2","0.6","...","..."
,"Participation rate 16","67.1","67.2","67.1","0.0","-0.1","...","..."
,"Employment rate 17","64.1","63.9","63.3","-0.8","-0.6","...","..."
"Alberta",,"Persons in thousands",,,,,,
,"Population 8 9","4,032.9","4,121.0","4,127.4","94.5","6.4","0.2","2.3"
,"Labour force 10","2,765.5","2,840.2","2,856.5","91.0","16.3","0.6","3.3"
,"Employment 11","2,567.5","2,655.6","2,656.6","89.1","1.0","0.0","3.5"
,"Full-time employment 12","2,099.1","2,201.4","2,190.0","90.9","-11.4","-0.5","4.3"
,"Part-time employment 13","468.4","454.2","466.6","-1.8","12.4","2.7","-0.4"
,"Unemployment 14","198.0","184.6","199.9","1.9","15.3","8.3","1.0"
,,"Percent",,,,,,
,"Unemployment rate 15","7.2","6.5","7.0","-0.2","0.5","...","..."
,"Participation rate 16","68.6","68.9","69.2","0.6","0.3","...","..."
,"Employment rate 17","63.7","64.4","64.4","0.7","0.0","...","..."
"British Columbia",,"Persons in thousands",,,,,,
,"Population 8 9","4,827.5","4,840.3","4,838.5","11.0","-1.8","-0.0","0.2"
,"Labour force 10","3,143.3","3,118.1","3,114.6","-28.7","-3.5","-0.1","-0.9"
,"Employment 11","2,948.6","2,908.2","2,903.9","-44.7","-4.3","-0.1","-1.5"
,"Full-time employment 12","2,364.8","2,320.2","2,308.5","-56.3","-11.7","-0.5","-2.4"
,"Part-time employment 13","583.8","588.1","595.4","11.6","7.3","1.2","2.0"
,"Unemployment 14","194.8","209.8","210.7","15.9","0.9","0.4","8.2"
,,"Percent",,,,,,
,"Unemployment rate 15","6.2","6.7","6.8","0.6","0.1","...","..."
,"Participation rate 16","65.1","64.4","64.4","-0.7","0.0","...","..."
,"Employment rate 17","61.1","60.1","60.0","-1.1","-0.1","...","..."

Symbol legend:
..., not applicable




Footnotes:
1,"Fluctuations in economic time series are caused by seasonal, cyclical and irregular movements. A seasonally adjusted series is one from which seasonal movements have been eliminated. Seasonal movements are defined as those which are caused by regular annual events such as climate, holidays, vacation periods and cycles related to crops, production and retail sales associated with Christmas and Easter. It should be noted that the seasonally adjusted series contain irregular as well as longer-term cyclical fluctuations. The seasonal adjustment program is a complicated computer program which differentiates between these seasonal, cyclical and irregular movements in a series over a number of years and, on the basis of past movements, estimates appropriate seasonal factors for current data. On an annual basis, the historic series of seasonally adjusted data are revised in light of the most recent information on changes in seasonality."
2,"To ensure respondent confidentiality, estimates below a certain threshold are suppressed. For Canada, Quebec, Ontario, Alberta and British Columbia suppression is applied to all data below 1,500. The threshold level for Newfoundland and Labrador, Nova Scotia, New Brunswick, Manitoba and Saskatchewan is 500, while in Prince Edward Island, estimates under 200 are suppressed. For census metropolitan areas (CMAs) and economic regions (ERs), use their respective provincial suppression levels mentioned above. Estimates are based on smaller sample sizes the more detailed the table becomes, which could result in lower data quality."
3,"For more information on seasonal adjustment see <a href="http://www.statcan.gc.ca/eng/dai/btd/sad-faq">Seasonally adjusted data - Frequently asked questions</a>."
4,"Starting in 2006, enhancements to the Labour Force Survey data processing system may have introduced a level shift in some estimates, particularly for less common labour force characteristics. Use caution when comparing estimates before and after 2006. For more information, contact statcan.labour-travail.statcan@statcan.gc.ca"
5,"Gender refers to an individual's personal and social identity as a man, woman or non-binary person (a person who is not exclusively a man or a woman). Some people may not identify with a specific gender and a person's gender may change over time. Gender includes the following concepts: gender identity, which refers to the gender that a person feels internally and individually; gender expression, which refers to the way a person presents their gender, regardless of their gender identity, through body language, aesthetic choices or accessories (e.g., clothes, hairstyle and makeup), which may have traditionally been associated with a specific gender. A person's gender may differ from their sex at birth, and from what is indicated on their current identification or legal documents such as their birth certificate, passport or driver's license. LFS started collecting gender of person in 2022. Prior to 2022, LFS only collected information on sex of person (male or female), as declared by the respondent or recorded by the interviewer. The sex variable prior to 2022 and the two-category gender variable since 2022 are combined in this table. Although sex and gender refer to two different concepts, the introduction of gender is not expected to have a significant impact on data analysis and historical comparability, given the small size of the transgender and non-binary populations."
6,"Given that the non-binary population is small, data aggregation to a two-category gender variable is necessary to protect the confidentiality of responses provided. Individuals in the category “non-binary persons” are distributed into the other two gender categories and are denoted by the “+” symbol. The category “Men+” includes men, as well as some non-binary persons, while the category “Women+” includes women, as well as some non-binary persons."
7,"Excluding the territories."
8,"Number of persons of working age, 15 years and over. Estimates in thousands, rounded to the nearest hundred."
9,"From December 2000 to January 2001, there is a slight level shift in the population series. This is due to the 2015 population rebasing, which was revised back to 2001. This level shift is evident for certain age groups and in two provinces (Manitoba and Saskatchewan). These shifts are minor for labour force estimates and rates."
10,"Number of civilian, non-institutionalized persons 15 years of age and over who, during the reference week, were employed or unemployed. Estimates in thousands, rounded to the nearest hundred."
11,"Number of persons who, during the reference week, worked for pay or profit, or performed unpaid family work or had a job but were not at work due to own illness or disability, personal or family responsibilities, labour dispute, vacation, or other reason. Those persons on layoff and persons without work but who had a job to start at a definite date in the future are not considered employed. Estimates in thousands, rounded to the nearest hundred."
12,"Full-time employment consists of persons who usually work 30 hours or more per week at their main or only job. Estimates in thousands, rounded to the nearest hundred."
13,"Part-time employment consists of persons who usually work less than 30 hours per week at their main or only job. Estimates in thousands, rounded to the nearest hundred."
14,"Number of persons who, during the reference week, were without work, had looked for work in the past four weeks, and were available for work. Those persons on layoff or who had a new job to start in four weeks or less are considered unemployed. Estimates in thousands, rounded to the nearest hundred."
15,"The unemployment rate is the number of unemployed persons expressed as a percentage of the labour force. The unemployment rate for a particular group (age, gender, marital status, etc.) is the number unemployed in that group expressed as a percentage of the labour force for that group. Estimates are percentages, rounded to the nearest tenth."
16,"The participation rate is the number of labour force participants expressed as a percentage of the population 15 years of age and over. The participation rate for a particular group (age, gender, marital status, etc.) is the number of labour force participants in that group expressed as a percentage of the population for that group. Estimates are percentages, rounded to the nearest tenth."
17,"The employment rate is the number of persons employed expressed as a percentage of the population 15 years of age and over. The employment rate for a particular group (age, gender, marital status, etc.) is the number employed in that group expressed as a percentage of the population for that group. Estimates are percentages, rounded to the nearest tenth."



"How to cite: Statistics Canada. Table 14-10-0287-03  Labour force characteristics by province, monthly, seasonally adjusted"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410028703
